consumer_id,visit_time,day_of_week,age_group,gender,loyalty_status,product_touch_count,time_spent_near_shelf,distance_to_shelf,gesture_type,path_pattern,time_in_zone,speed,direction_changes,attention_score,interest_level,purchase_likelihood
22,Morning,Wednesday,Adult,Male,Occasional,4,96.63057259276057,0.4246266701080502,Inspect,Path_A,147.96990488608242,0.9454337222956161,4,2.954154837354879,56.768828201532166,0
23,Morning,Wednesday,Adult,Female,Regular,1,24.75607447651474,0.2511441953470592,Inspect,Path_B,180.68924100040982,1.4052907752415402,2,1.420135628468097,59.13889741525953,1
24,Afternoon,Friday,Adult,Female,Occasional,1,24.677613548059824,0.4221813294079493,Pick,Path_B,54.76187146830779,1.2486101980836442,2,1.0971181596902966,59.564964758415364,1
25,Afternoon,Friday,Young Adult,Male,Regular,5,54.491729289655225,0.19658346512681119,Inspect,Path_B,62.617504861284104,1.1618578755641662,1,3.7898382102431505,34.341436153456215,1
26,Afternoon,Sunday,Young Adult,Male,First-time,2,79.55054637079263,0.5451370145479941,Pick,Path_D,62.231147189730365,1.5433962657744638,0,1.7646329741831912,53.145527958573844,1
27,Morning,Wednesday,Adult,Female,Regular,4,35.606655569451135,0.4852611936089626,Scan,Path_D,151.00578202445723,1.1130976634715306,2,2.5901824515995786,43.31245881478485,1
28,Afternoon,Sunday,Adult,Male,Occasional,6,34.830438893491795,0.5637463704205926,Scan,Path_B,154.34411826497995,1.5689932381393357,3,3.5289216626075137,35.93857558017099,1
29,Afternoon,Sunday,Adult,Male,First-time,3,67.43904677420811,0.4737528781306913,Inspect,Path_B,80.94642722980919,0.879166804081333,3,2.2593562575447104,45.861322750262914,0
30,Morning,Friday,Young Adult,Female,First-time,1,53.74252666762563,0.5391790235687337,Scan,Path_B,208.2314541070959,0.8430628061952705,2,1.1396469450556617,40.950220080991905,1
31,Afternoon,Thursday,Adult,Male,First-time,3,70.8815982219049,0.590096784950304,Pick,Path_C,104.60133884766205,1.1585495561160302,3,2.1933354435220016,59.207504681638696,0
32,Morning,Sunday,Young Adult,Male,Occasional,2,54.10100393505199,0.26047049636331343,Inspect,Path_C,177.42578880396874,1.2009827721308945,2,2.038346302248135,55.130633430135696,0
33,Morning,Monday,Young Adult,Male,Regular,4,67.70274565609967,0.5692170037429104,Pick,Path_D,152.34163033288772,0.9424835657380379,5,2.6898735764313644,38.47555531891132,0
34,Evening,Thursday,Young Adult,Male,First-time,2,87.3226647789347,0.7896414144391013,Inspect,Path_B,81.67596745351221,1.117168365619273,2,1.6898928458939904,42.75778686169071,0
35,Evening,Wednesday,Young Adult,Male,Regular,5,35.64906416488007,0.3076555444217738,Inspect,Path_C,103.27869221259445,1.6094294264566789,3,3.3283229925136655,46.193025743833765,0
36,Evening,Wednesday,Adult,Male,Occasional,3,83.69574027632254,0.5616652965479124,Inspect,Path_A,85.10331389522477,1.08168251191856,1,2.274562656059306,49.275948526821026,1
37,Afternoon,Sunday,Adult,Male,Regular,4,25.917050626533566,0.7589397695275906,Inspect,Path_A,66.22722809573648,0.6190892175206753,4,2.3931107765407926,60.06378274803781,0
38,Morning,Thursday,Young Adult,Male,Occasional,3,72.1867314767323,0.26899094289894604,Scan,Path_B,109.87114893533627,0.6770005793800296,0,2.6044531151192167,56.90782326480633,0
39,Afternoon,Friday,Adult,Female,Occasional,3,88.38538338726082,0.659570926908406,Scan,Path_C,72.05599392148237,1.8259876846024317,1,2.245154351379869,50.5139196897484,1
40,Afternoon,Friday,Young Adult,Male,Regular,0,49.51863952694541,0.45559517180963177,Scan,Path_A,113.00210556016435,1.6351727102457978,6,0.6865794125359881,47.39351150105078,1
41,Morning,Saturday,Adult,Male,Occasional,3,72.89110228383389,0.7022675910963364,Inspect,Path_D,197.31826763010645,1.069199408932515,3,2.1492472382989085,32.26645965392528,1
42,Afternoon,Wednesday,Senior,Female,Occasional,0,50.25813686100918,0.3351085595817638,Scan,Path_A,147.86752631815563,1.4431781397737897,4,0.8481122046195744,62.919976261260565,1
43,Morning,Tuesday,Young Adult,Female,First-time,3,71.7076226825395,0.498188958523548,Inspect,Path_D,97.71480445606369,1.2781255820313286,5,2.25999221346487,45.52903402134343,1
44,Evening,Saturday,Adult,Male,Occasional,5,14.83001287380904,0.19630219057436854,Scan,Path_A,94.4510671789434,1.5811516143103186,8,3.592987395805907,65.54840240426257,0
45,Morning,Friday,Young Adult,Female,Occasional,2,63.24313328174829,0.5874577822341532,Inspect,Path_A,103.95518775316361,0.8786333140513345,7,1.6566656630695782,51.961092921318354,0
46,Afternoon,Thursday,Young Adult,Male,Regular,0,67.90781927686928,0.589747345645217,Scan,Path_C,202.84530375043073,0.8871092899968701,3,0.6786673713597745,70.25284208621444,1
47,Afternoon,Friday,Young Adult,Male,First-time,5,86.89363902146219,0.6081604840797395,Scan,Path_A,76.4658219570798,1.595810632746888,3,3.2633287594411438,56.063215333663166,1
48,Afternoon,Thursday,Adult,Female,Occasional,3,78.50511082559629,0.5983199300517037,Scan,Path_A,119.92923908563033,0.7520271039748475,1,2.2267948805445643,35.679803687791214,0
49,Afternoon,Saturday,Adult,Female,Occasional,2,56.775278952049895,0.4817849298979205,Inspect,Path_D,138.61451694927314,1.2209408387510183,7,1.6989993834398156,43.85584519738788,1
50,Morning,Wednesday,Young Adult,Male,Occasional,3,65.36129595897283,0.2044740682035162,Inspect,Path_D,168.61954886499132,1.1865891552774643,8,2.8049256210491817,48.30865039328035,1
51,Evening,Friday,Adult,Male,Occasional,2,31.07767150187415,0.698415557732528,Scan,Path_A,106.69316805948797,1.4352784708507276,1,1.4417508214975998,41.26217112891676,0
52,Afternoon,Sunday,Adult,Female,Regular,3,92.88149876080338,0.49231314805223986,Inspect,Path_B,81.49297223642051,1.2419634671319033,5,2.3706529917990813,46.22939182817956,1
53,Evening,Thursday,Adult,Male,Occasional,4,73.82318796644142,0.5786968018402132,Pick,Path_A,131.58002889868516,1.1603880940553282,3,2.714720061652156,36.330608414178904,1
54,Evening,Wednesday,Adult,Female,Regular,1,22.781984615784786,0.4629568584573531,Scan,Path_A,172.58654923901508,1.0858380815846844,5,1.0459156193903085,50.057212810991224,1
55,Afternoon,Tuesday,Adult,Male,First-time,3,64.91974096256308,0.8917520745920522,Scan,Path_C,109.08466788961489,0.9015581719170642,2,2.0488762878972095,52.3741194901094,0
56,Evening,Thursday,Young Adult,Female,First-time,2,66.44680888955928,0.38647027145701024,Pick,Path_A,86.42328757361129,1.1501706710948694,3,1.8497382738054413,39.958905927938815,0
57,Morning,Saturday,Young Adult,Female,Occasional,2,44.52112208274279,0.37877786679805864,Inspect,Path_A,124.40827516936497,1.5495298239195572,4,1.7506195666954518,69.40254293481911,1
58,Morning,Tuesday,Senior,Female,First-time,0,61.93731071252356,0.1876712278992253,Inspect,Path_D,55.05651657460646,1.1142200565799572,6,1.3753800124842748,50.63513261280459,1
59,Morning,Tuesday,Young Adult,Female,Occasional,3,42.510396033705646,0.5225827199478652,Inspect,Path_D,111.25364570992939,1.6218780537522708,1,2.0952665100709957,41.83259133877088,0
60,Afternoon,Monday,Senior,Female,First-time,3,31.908048545868336,0.871681412907736,Scan,Path_D,167.12102732769154,1.4193012735200567,7,1.8889818678901265,33.70460700034783,0
61,Afternoon,Friday,Adult,Male,Regular,2,47.733060347518936,0.5250075347057376,Scan,Path_D,154.9938730847863,1.3429738189641793,3,1.6196122154082686,50.599428893971684,0
62,Morning,Thursday,Young Adult,Male,First-time,1,63.43180518278568,0.5454230768555687,Scan,Path_A,114.24542904434321,1.1514530315472067,4,1.1838468476926192,47.39511467186647,0
63,Evening,Tuesday,Young Adult,Male,Regular,3,78.56663466752468,0.6946428212268173,Scan,Path_B,186.37317572458272,1.0114772808113477,6,2.1807509260134195,57.83040907286443,1
64,Afternoon,Monday,Young Adult,Female,First-time,4,61.39636901743037,0.5324193110554516,Scan,Path_C,196.39499471635986,1.704476512777489,2,2.682625620297946,48.56629735028032,0
65,Morning,Saturday,Senior,Female,Regular,4,78.76182737879417,0.7398579206133723,Inspect,Path_C,146.56344915080888,1.438075235300743,0,2.6641313087971814,38.06281217731273,0
66,Afternoon,Wednesday,Adult,Male,Regular,5,72.97406155408103,0.7695484900174082,Pick,Path_B,61.28914637378972,1.1581858811220662,1,3.1247629624820994,66.70718296177581,0
67,Morning,Sunday,Young Adult,Male,First-time,5,39.29203908324284,0.3814016011905348,Inspect,Path_B,44.803531785119986,1.709734505661224,4,3.220841842938682,54.356248795071856,0
68,Evening,Sunday,Young Adult,Male,Regular,2,72.82206074083794,0.21391396556144243,Inspect,Path_C,175.3396065775009,1.388711395187451,3,2.2990656231246698,47.458912884016414,1
69,Morning,Thursday,Young Adult,Female,Occasional,3,73.3748680524279,0.6379179371952621,Scan,Path_A,129.78911672640066,0.7738508142545322,3,2.1803942906171043,51.64638531449738,0
70,Evening,Tuesday,Adult,Male,Regular,3,94.83602094873922,0.5645262799251187,Pick,Path_C,185.4221671339559,1.072043265572972,4,2.328459448526467,54.740419565616584,0
71,Afternoon,Sunday,Young Adult,Female,Occasional,2,68.21308722671303,0.2908279575239644,Pick,Path_B,66.45269033817983,1.4181322120546636,5,2.0287572306321042,35.71143386106565,0
72,Morning,Friday,Adult,Female,Occasional,2,35.30651904374934,0.36439240104123605,Inspect,Path_A,113.55259047122732,1.6522702361420953,1,1.7253914611789267,51.5769421996281,1
73,Morning,Sunday,Young Adult,Male,Regular,4,48.91838407319548,0.36377135759067536,Pick,Path_C,161.1676236081432,1.908390306836357,7,2.7943878177797727,45.49876526706108,0
74,Evening,Sunday,Young Adult,Male,Occasional,1,22.948857304810787,0.5294916599157324,Inspect,Path_A,90.80850050045893,1.2076703456383773,6,0.9924650612607695,55.072999856297514,0
75,Afternoon,Sunday,Adult,Male,First-time,6,70.209550376116,0.6994770094287845,Inspect,Path_A,160.59140238630079,1.3848731429095629,2,3.636975662739761,42.598180753937214,1
76,Afternoon,Monday,Adult,Male,Regular,1,93.07935081556083,0.7106746278201141,Inspect,Path_B,115.08881890882647,1.0165258288960213,3,1.2468194926571585,43.952981449029174,0
77,Afternoon,Tuesday,Senior,Male,Occasional,4,12.177050203009259,0.6581646242508813,Inspect,Path_D,121.1224322553565,0.9337803873327565,4,2.364760592579687,66.62871098564058,0
78,Morning,Friday,Adult,Male,Occasional,2,93.92460685047149,0.4415825091718666,Scan,Path_C,72.65468413542013,0.6942529091362177,1,1.9225395240269985,62.30912090882136,1
79,Afternoon,Tuesday,Young Adult,Female,First-time,4,69.9447500607871,0.9440224970137978,Pick,Path_B,130.05544155430064,1.3169995162421566,4,2.56158310813985,17.044388200326914,1
80,Morning,Thursday,Adult,Male,Occasional,3,38.468366916855736,0.5066440931646461,Scan,Path_C,207.71158729057495,1.5793524843681441,7,2.087096264169635,61.56761982464312,0
81,Evening,Thursday,Young Adult,Male,Regular,5,65.13389278985102,0.42223813181662007,Scan,Path_D,135.52087221194523,1.4327643282243732,1,3.2993358264341595,49.26347973742243,1
82,Afternoon,Thursday,Young Adult,Female,Occasional,5,39.11344645271352,0.2267867000326919,Scan,Path_D,88.33102904443618,1.2261408256649424,3,3.5774531628369632,42.918179371009884,1
83,Afternoon,Saturday,Senior,Female,Occasional,1,68.80839531165527,0.4304920545695231,Inspect,Path_D,175.82166320312203,1.5670832213960288,1,1.3086266253969012,39.928252642923496,1
84,Morning,Sunday,Adult,Male,Occasional,4,61.267221002171,0.5877546816510101,Inspect,Path_D,89.53713891628288,2.085229423981735,4,2.646614126171312,40.508823717200116,1
85,Afternoon,Saturday,Senior,Female,Regular,2,66.58687138762944,0.18275214976516713,Scan,Path_C,188.84412956554792,0.9504923132040098,4,2.4273127281747975,43.20064055241585,1
86,Afternoon,Monday,Adult,Male,Occasional,3,41.62121365627114,0.30917774807942,Scan,Path_A,69.00163486471418,0.47292515615063146,2,2.354983151908425,38.728674163181566,1
87,Afternoon,Thursday,Adult,Female,Occasional,1,44.53358786770963,0.406531754730587,Pick,Path_A,130.9083362916512,1.3027198049987547,6,1.2146344282356878,36.45400338927358,0
88,Afternoon,Friday,Young Adult,Female,Regular,4,70.03642825677943,0.3449220279603431,Scan,Path_D,181.05249982744596,1.524753117828673,3,2.9300233337489803,39.59619849156089,0
89,Evening,Tuesday,Young Adult,Female,Occasional,3,49.94547412134669,0.3284256000421629,Inspect,Path_D,85.3272348562342,0.735799294060326,4,2.3586932976669996,53.23393855065687,0
90,Afternoon,Sunday,Adult,Male,First-time,4,62.98035616343311,0.7249228222460029,Scan,Path_A,123.32640333597186,1.449824666575506,2,2.5907932189986083,50.50090148570797,1
91,Morning,Wednesday,Young Adult,Female,First-time,4,69.05967059414166,0.16986409624852805,Pick,Path_B,166.2915696941615,1.0988679082384494,5,3.522710204074194,55.55856451551856,1
92,Afternoon,Friday,Adult,Male,Occasional,4,55.552882843909885,0.5350739753694645,Pick,Path_D,29.779161106732474,1.3010529068749612,3,2.6515445067047083,49.33630160789946,1
93,Afternoon,Sunday,Adult,Male,Occasional,3,83.10202356743497,0.6038157119522778,Scan,Path_A,157.07535002219905,0.9242940626793175,4,2.2467370071696053,36.93320669355208,0
94,Afternoon,Saturday,Young Adult,Male,Occasional,1,56.28899033970525,0.40318226162680204,Pick,Path_B,116.48294036331434,0.9058361018651091,3,1.2774985211016519,54.94440923493606,0
95,Afternoon,Saturday,Adult,Male,Regular,5,55.6884902585666,0.45461018609139475,Pick,Path_A,177.6781661424974,0.8686107022744534,3,3.218379800078485,39.95310721125085,0
96,Afternoon,Friday,Adult,Male,First-time,5,47.36589649174333,0.4918906080486352,Inspect,Path_B,86.90010857814599,1.4002526767445214,6,3.1434239502681636,56.466143019889344,1
97,Afternoon,Saturday,Young Adult,Female,Regular,4,80.79964050556632,0.6268612532660667,Pick,Path_C,64.528965492337,1.0127034070205105,1,2.7230480703541837,38.340799970430396,0
98,Afternoon,Thursday,Adult,Female,Occasional,5,45.855835199513365,0.8061382333844747,Pick,Path_B,98.27854020281427,1.2809246812475759,4,2.9773755839303897,43.12523373596475,1
99,Morning,Monday,Adult,Male,Regular,3,85.08980388307138,0.24310074428957545,Scan,Path_D,97.44334121543156,1.2088525773804184,1,2.7481532056344045,46.38608359432085,0
100,Morning,Tuesday,Young Adult,Male,Regular,2,63.26225422730821,0.31674807911594605,Inspect,Path_B,111.74056094135743,0.84595751866146,1,1.9477278863791856,56.744048010569486,1
101,Morning,Monday,Adult,Male,First-time,5,113.6418962729938,0.3268182462444843,Pick,Path_B,101.25681161798734,1.2228249752444587,4,3.680170417751566,51.75997252127395,1
102,Afternoon,Sunday,Senior,Male,Occasional,6,46.79080252874983,0.49748668313991884,Scan,Path_D,39.684057049437314,1.271101489763599,3,3.6359748240103715,50.200013221509245,1
103,Afternoon,Tuesday,Young Adult,Male,First-time,3,85.5038780898888,0.42004388694825084,Scan,Path_C,116.20174521987518,1.5187895021036983,1,2.4036601133940443,68.85668785055306,0
104,Afternoon,Tuesday,Adult,Female,Regular,0,70.20483959178299,0.6332848943371674,Scan,Path_B,129.27186838098518,1.6483009862683458,2,0.666837825898567,31.630168387748544,0
105,Evening,Monday,Young Adult,Male,Regular,3,49.724915756334816,0.36870164543027917,Scan,Path_C,112.27030230164145,0.8941566505026979,2,2.291068591383239,39.616223572994485,1
106,Morning,Friday,Adult,Male,Occasional,1,70.47359312061047,0.3223499468440947,Scan,Path_A,131.47312980007504,1.3064480488561916,2,1.4728116851012611,39.18811521961008,1
107,Afternoon,Tuesday,Adult,Male,Occasional,0,69.4990803086107,0.3473725016673719,Scan,Path_A,123.39792313466515,0.534807328358641,3,0.9232462138267239,32.29347690077726,1
108,Afternoon,Monday,Young Adult,Female,Occasional,1,53.36122749628822,0.5231377631826483,Pick,Path_D,64.72025795300983,1.4553700111562549,4,1.1491146116073514,42.80480487113972,1
109,Morning,Tuesday,Young Adult,Female,Regular,4,68.56561758015022,0.6927846230975689,Inspect,Path_C,107.96589004149838,1.5291903866857768,7,2.6315180982329127,56.87769163796706,0
110,Morning,Wednesday,Adult,Female,Occasional,2,83.26883185628412,0.49111296108059416,Inspect,Path_D,124.55599675612736,0.39848572698491047,2,1.8235824442575301,44.083526014842484,0
111,Morning,Friday,Adult,Female,Occasional,8,70.22708321451998,0.38836768504112484,Scan,Path_D,110.5131747549627,1.0982360642790134,7,4.866111320874828,46.6699702801369,0
112,Morning,Thursday,Adult,Male,Occasional,7,51.61629660547194,0.29379258672875286,Scan,Path_B,60.28839517485558,0.9308714098554967,0,4.438833854034774,32.77445172119718,0
113,Evening,Tuesday,Young Adult,Male,First-time,3,50.489952286487146,0.7923267638409183,Inspect,Path_A,168.92451780273214,1.0974658875235546,3,2.0048708699034803,42.03474424839653,0
114,Evening,Wednesday,Adult,Female,Regular,3,58.25180263516937,0.14780701466365664,Pick,Path_D,81.11377386420631,1.03802112993322,6,3.1443747665459525,45.38301284412416,1
115,Afternoon,Thursday,Adult,Male,First-time,3,82.24924029164328,0.4627853638752583,Scan,Path_B,70.31213621512404,1.186912058752277,2,2.3434119863163327,56.42400422547114,1
116,Evening,Thursday,Senior,Female,Occasional,0,44.924218188075464,0.6479449752671596,Inspect,Path_B,121.63274265557742,1.4961962134877032,1,0.5332892767188632,33.250836020817786,1
117,Evening,Sunday,Young Adult,Male,First-time,3,67.84262348628289,0.46002816400691043,Inspect,Path_C,107.36972651123246,1.1058774495305292,2,2.2739691077124693,45.44991254278862,1
118,Morning,Tuesday,Adult,Male,Occasional,3,28.75064876749999,0.3867356161791021,Scan,Path_A,144.0576637444243,0.903766819779049,6,2.1609024062962727,60.868180300688906,1
119,Evening,Monday,Adult,Female,Occasional,4,71.89223015059254,0.6071315630209699,Inspect,Path_C,154.9061574251819,1.1407085981240774,3,2.68887904331786,45.54916714376736,0
120,Afternoon,Tuesday,Young Adult,Female,Regular,1,75.03541795941614,0.28124362930114266,Pick,Path_C,148.82259407152196,1.1240262158477392,2,1.5863043089165911,28.84438585881321,0
121,Evening,Wednesday,Adult,Female,Regular,3,100.55242992498142,0.15184191827419946,Inspect,Path_D,119.92867958990288,1.1740216870085416,6,3.3199214839718003,62.79175777348191,0
122,Evening,Thursday,Young Adult,Male,Occasional,4,78.50586107432557,0.5706328589762453,Scan,Path_C,142.13189697605324,1.0116069801310146,3,2.7430173588615965,57.34896942538333,0
123,Afternoon,Tuesday,Adult,Female,First-time,4,51.97598148779316,0.30096348031721215,Scan,Path_D,57.59947618807668,1.3087883977543577,1,2.9244123609751966,58.69397175078791,0
124,Morning,Monday,Adult,Male,Regular,2,29.30841405238376,0.5263437537761281,Inspect,Path_C,163.7744342912313,1.5880280454062516,3,1.526521881108248,32.56216353254606,1
125,Morning,Sunday,Young Adult,Male,Occasional,5,70.28392971976021,0.47534682094259817,Inspect,Path_B,103.80681435686674,0.8193020822677279,4,3.2721650731782823,65.12455725847215,1
126,Afternoon,Tuesday,Adult,Male,First-time,2,53.455553932098084,0.5522090788495035,Scan,Path_A,198.79751648259662,1.335214686009732,5,1.629459428130664,42.267239148888024,0
127,Evening,Friday,Adult,Male,Regular,4,66.68204795448476,0.4545840123767566,Pick,Path_A,164.99199907911554,1.4879188980831801,5,2.773372918957545,44.90561055779769,1
128,Evening,Sunday,Young Adult,Male,Regular,3,45.59629839581677,0.6103037313197237,Inspect,Path_A,112.10857667962243,1.0698133508782568,1,2.055687173161008,42.972228340079965,1
129,Morning,Monday,Senior,Male,Regular,3,56.53607556705861,0.3592903446342758,Pick,Path_B,120.85642513617158,1.5756601966663735,2,2.3393332436493783,59.46937181955207,0
130,Afternoon,Wednesday,Senior,Male,Regular,2,26.000293959215213,0.6562476784902738,Pick,Path_B,167.36246457633928,1.1818269179245633,7,1.434764452668806,48.202016474947044,1
131,Afternoon,Thursday,Adult,Male,Regular,2,39.07587805847385,0.2564753114479192,Scan,Path_C,29.595246805223184,0.8622067009582894,3,1.9751815430645387,54.81741032587626,1
132,Morning,Tuesday,Young Adult,Male,First-time,1,36.254595486766604,0.7345247965044882,Scan,Path_C,113.59076866137923,0.8185322789102287,3,0.9535578627798077,50.75901022884368,1
133,Morning,Monday,Adult,Male,First-time,3,77.4557967856431,0.9103292382008883,Scan,Path_C,188.0569496176148,1.4354427928372175,2,2.106979715935095,49.0495799630708,1
134,Afternoon,Sunday,Adult,Male,Occasional,5,43.45471525449574,0.5216222822064929,Pick,Path_C,153.79414360100174,1.4078573623790915,2,3.1006927798271815,40.53215936253804,1
135,Evening,Friday,Young Adult,Female,Occasional,1,87.55860151949427,0.8138347236511008,Scan,Path_A,86.49144500511767,1.6692870790581038,2,1.1835431509468992,68.12140587307766,0
136,Afternoon,Monday,Adult,Male,Occasional,2,43.65112237401923,0.8656816925118405,Scan,Path_C,132.57898444482987,1.4012154967307322,4,1.4492874122766464,35.36606371494771,1
137,Afternoon,Saturday,Adult,Male,Occasional,3,101.91876135127586,0.43581312585402554,Pick,Path_B,80.93227218108834,1.1701582791661413,6,2.4685060976794144,54.122539740346845,1
138,Afternoon,Friday,Adult,Male,Occasional,2,21.023314668223605,0.5095729794085112,Pick,Path_B,106.34132508553444,1.3446925272767334,10,1.497602062332608,53.76656592107279,1
139,Afternoon,Sunday,Adult,Female,Occasional,3,68.48603599904375,0.3371764986118082,Pick,Path_B,133.35350476309455,1.2216262512319864,3,2.435591330975259,61.54356286152425,1
140,Evening,Wednesday,Adult,Female,First-time,4,60.77196064314589,0.35007842486871465,Pick,Path_D,140.39300726429275,1.1002280614995092,3,2.875160362726083,63.88090032379278,0
141,Evening,Thursday,Senior,Female,Occasional,1,35.77116971912355,0.5465740084696732,Inspect,Path_D,149.17674896846134,1.0351911389663784,2,1.0447715286331127,48.62611400583224,1
142,Morning,Sunday,Young Adult,Female,Occasional,1,48.98136862270002,0.17283439009864487,Scan,Path_D,169.35149107838419,0.6830951342602455,2,1.902083952864924,55.30394305924753,0
143,Afternoon,Wednesday,Adult,Male,Regular,3,54.77436964227265,0.6669566587306699,Inspect,Path_C,72.25095022896967,0.9773560728647033,6,2.073741408522274,67.6487371045251,1
144,Afternoon,Tuesday,Adult,Female,First-time,3,64.9961252006274,0.5334569534415713,Pick,Path_A,120.96084110999378,1.1941049963395534,1,2.1998937257569406,49.34823233077748,0
145,Morning,Monday,Adult,Female,Occasional,3,41.27166602272047,0.6362663716412377,Pick,Path_A,85.9861160810308,0.388152900068519,4,2.0206920886055113,39.33566524934824,1
146,Morning,Saturday,Adult,Male,Regular,2,68.50640777110964,0.4635937576733439,Pick,Path_C,104.04574411556423,1.0455402268930791,6,1.7739442325911754,46.15531887300579,1
147,Afternoon,Friday,Adult,Male,Occasional,1,62.394476999943606,0.6345053918776669,Pick,Path_C,89.82249560784956,1.4761721116449955,2,1.127178532276336,36.95354001385533,0
148,Afternoon,Friday,Adult,Male,First-time,3,75.58369521282827,0.5495290532424522,Pick,Path_D,139.97613946470796,1.6029686703889447,3,2.241866476301647,53.71816810994723,0
149,Morning,Monday,Adult,Female,Occasional,5,42.7527595158041,0.6014449965075529,Scan,Path_B,162.12076839759777,1.0417666633116207,1,3.046296283777014,60.64456208140635,1
150,Morning,Saturday,Adult,Female,Occasional,0,51.81333999394488,0.6803424434384591,Inspect,Path_B,164.28056895929626,1.0305002930270495,5,0.5530363059069896,48.78958507932462,0
151,Evening,Monday,Senior,Female,Regular,8,88.84236752926961,0.24701022122258648,Inspect,Path_D,75.79307675923778,0.9840054786854961,1,5.253894930961646,33.7903995054636,0
152,Morning,Tuesday,Young Adult,Male,First-time,4,41.879230153883036,0.35938506856464264,Scan,Path_D,115.06807814324006,1.0324828687643095,3,2.7659022983363832,60.216508350576774,1
153,Morning,Wednesday,Young Adult,Male,Occasional,1,32.15046560336137,0.9629643183552217,Scan,Path_A,74.68392429032666,1.5427946960546235,3,0.868444343377882,32.23701038434221,0
